FOREBET,"2025-07-04 20:45:00","Bray Wanderers - Wexford Youths",42,31,27,2.58,2-1
FOREBET,"2025-07-04 20:45:00","Cobh Ramblers - Athlone Town",66,21,14,2.93,3-0
FOREBET,"2025-07-04 20:45:00","Finn Harps - Longford Town",41,32,27,1.79,2-0
FOREBET,"2025-07-04 20:45:00","Kerry - Dundalk FC",15,22,64,1.75,0-1
FOREBET,"2025-07-04 20:45:00","UCD Dublin - Treaty United",30,41,29,2.2,1-1
FOREBET,"2025-07-04 20:45:00","Larne W - Glentoran BU W",3,5,92,4.88,0-8
FOREBET,"2025-07-04 20:45:00","Linfield W - Lisburn W",71,12,17,2.83,4-0
FOREBET,"2025-07-04 20:45:00","Lisburn Rangers W - Derry City W",64,15,21,3.83,3-0
FOREBET,"2025-07-04 21:00:00","Fluminense - Al Hilal",30,40,29,1.52,1-1
FOREBET,"2025-07-04 21:00:00","Germany W - Poland W",44,26,30,2.49,2-0
FOREBET,"2025-07-04 21:00:00","Crusaders Strikers W - Cliftonville W",21,17,62,3.28,2-3
FOREBET,"2025-07-04 21:15:00","Keflavik IF - UMF Selfoss",52,30,18,2.42,2-0
FOREBET,"2025-07-04 21:15:00","Fylkir FC - IR Reykjavik",16,34,50,2.25,0-2
FOREBET,"2025-07-04 21:15:00","Leiknir Reykjavik - Fjölnir",32,34,35,3.56,1-3
FOREBET,"2025-07-04 21:15:00","Aegir Thorlakshofn - Vidir Gardur",50,25,26,2.13,2-0
FOREBET,"2025-07-04 21:15:00","Haukar - Kári Akranes",65,14,22,4.38,2-1
FOREBET,"2025-07-04 21:15:00","Trottur Vogum - Grotta",25,39,37,2.4,1-1
FOREBET,"2025-07-04 22:15:00","Los Chankas - ADT",46,32,22,3.25,3-2
FOREBET,"2025-07-04 22:30:00","12 de Junio VH - Sportivo Carapeguá",28,46,26,2,1-1
FOREBET,"2025-07-04 23:00:00","Puerto Cabello - Metropolitanos",29,43,28,2.2,1-1
FOREBET,"2025-07-05 00:00:00","Coritiba - Volta Redonda",45,30,25,1,1-0
FOREBET,"2025-07-05 00:00:00","Rotor-2 Volgograd - Salyut Belgorod",23,25,51,1.92,0-1
FOREBET,"2025-07-05 00:00:00","Metallurg Lipetsk - Znamya Truda",35,26,40,2.2,0-2
FOREBET,"2025-07-05 00:00:00","Dynamo Petersburg - SKA-Khabarovsk-2",53,26,22,1.17,1-0
FOREBET,"2025-07-05 00:00:00","Dynamo Bryansk - Rodina-M Moscow",38,33,28,1.38,1-0
FOREBET,"2025-07-05 00:00:00","Kvant Obninsk - FK Ryazan",19,31,49,2.26,0-2
FOREBET,"2025-07-05 00:00:00","FK Oryol - FK Khimki Youth",39,23,37,1,1-0
FOREBET,"2025-07-05 00:00:00","Strogino Moscow - Zenit Penza",37,23,39,3.29,2-3
FOREBET,"2025-07-05 00:00:00","IF Fuglafjordur - AB Argir",26,23,51,3.8,2-3
FOREBET,"2025-07-05 00:00:00","Velo Clube U20 - EC São Bernardo U20",29,27,44,1.25,0-1
FOREBET,"2025-07-05 00:00:00","Christos - Patuxent",52,18,31,1.86,2-0
FOREBET,"2025-07-05 00:30:00","Taubaté - Portuguesa Santista/SP",37,28,35,1.8,2-0
